id,name,phone,timeOpen,ratingAverage,details,rangePrice,Longitude,Latitude,address
22,5Wine Eatery & Wine Library,+1 289-999-6268,Đang mở cửa: 4:00 CH - 02:00 SA,5.0,"Cửa hàng thức ăn ngon, Quán bar phục vụ đồ ăn, Bữa tối",400.000 vnd - 700.000 vnd,106.6914443,10.7647194,"Massage Ngọc Anh, hẻm 102 Cống Quỳnh, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
23,7 Bridges Brewing Co. Saigon Taproom & Bottle Shop,+84 97 732 64 78,Đang mở cửa: 11:00 SA - 12:00 SA,4.5,"Pizza, Nhà hàng bia, Nhà hàng bán bia, Quốc tế, Quán rượu, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Đồ uống, Giao hàng, Cửa hàng bán thức ăn mang về, Đặt chỗ, Ngồi ngoài trời, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe đường phố, Phục vụ",400.000 vnd - 700.000 vnd,106.69834,10.768814,"Regal Luxury, Calmette, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
24,82 Cafe,+84 97 547 22 92,,4.5,Cà phê,400.000 vnd - 700.000 vnd,106.6913898,10.7677934,"Khách Sạn The Hideout, Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
25,94 Restaurant,+84 90 908 84 99,,4.0,"Kiểu Á, Hải sản, Kiểu Việt, Bữa trưa, Bữa tối, Cửa hàng bán thức ăn mang về, Chỗ ngồi",400.000 vnd - 700.000 vnd,106.7004885,10.772939,"Trung tâm mua sắm Saigon Centre, Nam Kỳ Khởi Nghĩa, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
26,A Bửu Lounge,+84 8 3824 2479,,4.5,Kiểu Âu,100.000 vnd - 400.000 vnd,106.6975608,10.7741735,"ACB Bank, Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
27,A Bửu Sài Gòn,+84 8 3925 7899,,4.0,"Kiểu Á, Kiểu Việt, Bữa tối, Đặt chỗ, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.6967442,10.7819798,"Bach Suites Saigon, 10A, Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 71006, Việt Nam"
28,Å by TUNG,+84 98 280 85 33,Đang mở cửa: 6:00 CH - 11:30 CH,4.5,"Kiểu Âu, Kiểu Á, Quốc tế, Đương đại, Bản địa, Bữa tối, Đồ uống",1.000.000 vnd - 10.000.000 vnd,106.7287852,10.8166065,"Le Square Epicier Fin, Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71107, Việt Nam"
29,A.dau Kitchen,+84 327 328 258,Đang mở cửa: 6:00 CH - 11:00 CH,5.0,"Quầy bar, Kiểu Á, Cửa hàng thức ăn ngon, Quán rượu, Kiểu Bữa tối, Bản địa, Bữa tối",400.000 vnd - 700.000 vnd,106.7305746,10.8031868,"Cửa Hàng Pizza 4P's, 48/01, Xuân Thuỷ, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71108, Việt Nam"
30,Above Sky Bar,+84 28 3822 5678,Đang mở cửa: 5:00 CH - 12:00 SA,5.0,"Kiểu Mỹ, Kiểu Á, Kiểu Việt, Bữa tối",400.000 vnd - 700.000 vnd,106.6980572,10.7643997,"Quan Ut Ut American BBQ, Đường Võ Văn Kiệt, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
31,Acoustic Bar,+84 8 3930 7627,,4.5,"Quầy bar, Quán rượu, Đồ uống, Chỗ ngồi, Tivi, Phục vụ đồ uống có cồn, Dịch vụ bàn, Nhạc sống",400.000 vnd - 700.000 vnd,106.6680409,10.7995542,"Khách Sạn SGN Parkroyal, 309B-311, Nguyễn Văn Trỗi, Phường 10, Quận Phú Nhuận, Thành phố Hồ Chí Minh, 70150, Việt Nam"
32,Agavesaigon,+84 70 2389 891,Đang mở cửa: 12:00 CH - 2:00 CH5:00 CH - 10:00 CH,4.5,"Kiểu Mexico, Kiểu La tinh, Quốc tế, Kiểu Tây Ban Nha, Bữa trưa, Bữa tối, Đồ uống",700.000 vnd - 1.000.000 vnd,106.6955926,10.7861247,"Toà Nhà Central Point, Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
33,Agnes Cafe,+84 93 942 38 38,Đóng cửa sau 56 phút nữa:  Xem tất cả giờ,4.0,"Cà phê, Kiểu Mỹ, Quốc tế, Phù hợp với người ăn chay, Tùy chọn ăn chay",100.000 vnd - 400.000 vnd,106.682799,10.784456,"Hẻm 10 Kỳ Ðồng, Phường 9, Quận 3, Thành phố Hồ Chí Minh, 70150, Việt Nam"
34,Ah!Ngon Quán,+84 91 583 08 90,Đang mở cửa: 10:00 SA - 10:00 CH,5.0,"Kiểu Việt, Kiểu Bữa tối, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.6993049,10.7736865,"Nhà Hàng Rơm BBQ, 2-4-6, Lưu Văn Lang, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
35,Aiya,+84 8 3979 7774,,3.5,"Kiểu Á, Cửa hàng thức ăn ngon, Kiểu Việt, Bữa tối, Chỗ ngồi, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.706305,10.780904,"The Coffee House, Ngô Văn Năm, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
36,Ajisen Ramen,+84 8 3822 0522,Đang mở cửa: 10:00 SA - 10:00 CH,4.0,"Kiểu Nhật, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.6988863,10.7906444,"Đại học Kinh tế TP.HCM UEH - Cơ sở E, 54, Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
37,Akataiyo,+84 99 711 18 11,,4.0,"Kiểu Nhật, Sushi, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.7333531,10.8042635,"Đường Ngô Quang Huy, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 71108, Việt Nam"
38,Akatonbo,+84 8 3824 4928,Đang mở cửa: 11:00 SA - 2:00 CH5:30 CH - 10:30 CH,4.0,"Kiểu Nhật, Bữa trưa, Bữa tối, Đặt chỗ, Chỗ ngồi, Rượu và bia, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Wifi miễn phí, Giao hàng, Cửa hàng bán thức ăn mang về, Phục vụ đồ uống có cồn, Chấp nhận thẻ tín dụng, Dịch vụ bàn",700.000 vnd - 1.000.000 vnd,106.6972097,10.7735472,"Reisebüro, Thủ Khoa Huân, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
39,Akoma Cafe & Fusion,+84 90 300 94 41,Đang mở cửa: 07:30 SA - 10:00 CH,5.0,"Cà phê, Kiểu Ý, Món kết hợp, Kiểu Bữa tối, Súp, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",100.000 vnd - 400.000 vnd,106.6931723,10.7710147,"Cửa Hàng Thời Trang An Phước, 3, Nguyễn Trãi, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
40,Al Fresco's,+84 8 3547 4363,,4.0,"Kiểu Ý, Pizza, Kiểu Mỹ, Bữa trưa, Bữa tối, Giao hàng, Cửa hàng bán thức ăn mang về, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.7035365,10.7721183,"Silverland Charner, Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 00084, Việt Nam"
41,Al Fresco's Mac Dinh Chi,+84 28 3823 8427,Đang mở cửa: 08:30 SA - 11:00 CH,4.0,"Kiểu Ý, Pizza, Kiểu Âu, Bữa trưa, Bữa tối, Bữa nửa buổi, Đêm muộn, Giao hàng, Cửa hàng bán thức ăn mang về, Chỗ ngồi, Phục vụ đồ uống có cồn, Dịch vụ bàn, Đặt chỗ, Có ghế ăn cho bé",400.000 vnd - 700.000 vnd,106.6885522,10.7715906,"ATM Techcombank, Sương Nguyệt Anh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
42,Al Sham Restaurant,+84 98 459 71 60,Đang mở cửa: 09:00 SA - 11:00 CH,4.5,"Kiểu Ả Rập, Kiểu Li băng, Kiểu Trung Đông, Kiểu Địa Trung Hải, Phù hợp với người ăn chay, Tùy chọn ăn chay, Thịt kiểu Hồi giáo, Tùy chọn đồ ăn không có gluten, Bữa trưa, Bữa tối, Bữa nửa buổi",400.000 vnd - 700.000 vnd,106.6918959,10.784382,"Nhà Hàng Út Cà Mau, 215, Đường Ðiện Biên Phủ, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 70000, Việt Nam"
43,Al Sham Terrace,+84 88 935 84 01,Đang mở cửa: 11:00 SA - 10:00 CH,5.0,"Kiểu Ả Rập, Kiểu Li băng, Kiểu Địa Trung Hải, Bữa trưa, Bữa sáng, Bữa tối",400.000 vnd - 700.000 vnd,106.6877386,10.7647975,"Quán Phở Hùng, 241-243, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
44,Alley 50 Saigon Ultra Lounge,+84 90 231 73 64,Đang mở cửa: 5:00 CH - 01:30 SA,4.5,"Quầy bar, Quán rượu, Kiểu Á, Món kết hợp, Quầy rượu vang, Bữa tối, Đêm muộn, Đồ uống",700.000 vnd - 1.000.000 vnd,106.6971278,10.7910144,"Đường Nguyễn Văn Giai, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 72210, Việt Nam"
45,Alley Cat Restaurant,+84 70 8980 016,Đang mở cửa: 12:00 SA - 11:59 CH,4.5,"Quốc tế, Kiểu Việt, Kiểu Á, Phù hợp với người ăn chay, Bữa trưa, Bữa sáng, Bữa tối",400.000 vnd - 700.000 vnd,106.704089,10.774112,"chung cư 42 Nguyễn Huệ, Đường Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
46,Aloha Poke and Beer,+84 90 972 93 90,Đang đóng cửa:  Xem tất cả giờ,4.5,"Thịt nướng, Quán rượu, Quán rượu đặc sản, Kiểu Hawai, Bữa trưa, Bữa tối",100.000 vnd - 400.000 vnd,106.6885522,10.7715906,"ATM Techcombank, Sương Nguyệt Anh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
47,Am Dang Typhoon,+84 878 536 688,Đang mở cửa: 11:00 SA - 2:30 CH5:30 CH - 10:00 CH,5.0,"Kiểu Á, Kiểu Thái, Bữa trưa, Bữa tối, Ăn tối phòng riêng, Có bãi đỗ xe, Chấp nhận thẻ tín dụng, Phong cách gia đình",400.000 vnd - 700.000 vnd,106.7047828,10.7766203,"Maritime Bank, Hai Bà Trưng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
48,Ẩm Thực Chay & Café K Vegetarian,+84 90 153 90 90,Đang mở cửa: 08:00 SA - 8:00 CH,4.5,"Cà phê, Cửa hàng thức ăn ngon, Kiểu Bữa tối, Tốt cho sức khỏe, Kiểu Trung Á, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống, Giao hàng, Đặt chỗ, Bữa ăn tự chọn, Ăn tối phòng riêng, Thanh toán điện tử, Chấp nhận thẻ tín dụng, Phong cách ",400.000 vnd - 700.000 vnd,106.6926099,10.7868103,"Cà Phê - Khách Sạn The Hut Boutique, Đường Trương Quyền, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 72210, Việt Nam"
49,Ẩm Thực Chay Thông Viên,+84 93 868 38 75,,4.0,"Tốt cho sức khỏe, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay, Bữa sáng, Bữa trưa, Bữa tối",400.000 vnd - 700.000 vnd,106.702301,10.769751,"Tabak, Hẻm 100 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
50,Ẩm Thực Hạnh Dung,+84 8 3860 1204,,4.5,Hải sản,400.000 vnd - 700.000 vnd,106.7029286,10.7788602,"FamilyMart, Đường Hai Bà Trưng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
51,Ẩm thực Hương Bắc,+84 8 6660 1102,,4.5,Kiểu Việt,100.000 vnd - 400.000 vnd,106.6946829,10.7862382,"Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 72210, Việt Nam"
52,Ẩm Thực Thố,+84 90 955 16 51,,5.0,Kiểu Việt,100.000 vnd - 400.000 vnd,106.703261,10.778382,"Cửa Hàng Bánh Mì Pat A Chou, Đường Hai Bà Trưng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
53,Ẩm thực Thượng Hải,+84 90 287 78 11,,4.5,5.000 ₫ - 69.000 ₫,20.000 vnd - 99.000 vnd,106.6936725,10.7722915,"Nhà Hàng Cycloresto, Unit 28, Hẻm 6 Đường Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
54,Ambrosia Café Bistro,+84 90 366 50 66,Đang mở cửa: 07:00 SA - 10:00 CH,5.0,"Món kết hợp, Kiểu Việt, Kiểu Ý, Cà phê, Kiểu Âu, Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",400.000 vnd - 700.000 vnd,106.7834165,10.7955857,"Đường Song Hành Cao Tốc Long Thành Dầu Dây, VENICA KHANG ĐIỀN, Phường Phú Hữu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, 08408, Việt Nam"
55,Amigo Grill Restaurant,+84 28 3824 1248,Đang mở cửa: 11:00 SA - 10:00 CH,4.0,"Nhà hàng bít tết, Thịt nướng, Bữa trưa, Bữa tối, Đồ uống",700.000 vnd - 1.000.000 vnd,106.7026177,10.7755911,"Nhà Hàng Saigon Garden, 99, Đường Nguyễn Huệ, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, 71006, Việt Nam"
56,Amore Rooftop Bar,+84 91 768 61 60,Đang mở cửa: 12:00 CH - 04:00 SA,4.5,"Đồ nướng, Quầy bar, Kiểu Việt, Phù hợp với người ăn chay, Bữa tối, Đồ uống",400.000 vnd - 700.000 vnd,106.695132,10.768112,"Phúc Long - Nguyễn Thái Học, Trần Hưng Ðạo, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 71010, Việt Nam"
57,Ampm Restaurant & Cafe,+84 8 7304 0044,,4.0,"Quốc tế, Kiểu Á, Kiểu Việt, Bữa tối, Bữa trưa, Chỗ ngồi, Đặt chỗ, Lối vào ra cho xe lăn, Dịch vụ bàn",400.000 vnd - 700.000 vnd,106.7237288,10.7302122,"Capri by Fraser, 2, Đường C, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh, 72915, Việt Nam"
58,Amun Restaurant & Lounge,+84 28 6276 9179,Đang mở cửa: 10:30 SA - 11:45 CH,4.5,"Kiểu Ma rốc, Kiểu Địa Trung Hải, Món kết hợp, Kiểu Bữa tối, Quán bar phục vụ đồ ăn, Thịt kiểu Hồi giáo",400.000 vnd - 700.000 vnd,106.6931699,10.7671891,"Nhà Hàng Yummy And Cheap!, Hẻm 84 Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
59,An,+84 28 3825 8275,Đang mở cửa: 09:00 SA - 10:00 CH,4.0,"Kiểu Việt, Phù hợp với người ăn chay, Bữa trưa, Bữa tối, Bữa sáng, Đêm muộn",400.000 vnd - 700.000 vnd,106.6898308,10.7695386,"Nhà Hàng Hương Việt, Hẻm Tôn Thất Tùng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 70200, Việt Nam"
60,An Cafe Restaurant,+84 90 305 07 10,Đang đóng cửa:  Xem tất cả giờ,4.5,"Kiểu Việt, Cà phê, Kiểu Á, Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten",100.000 vnd - 400.000 vnd,106.6958799,10.7732701,"Quán Bar LAC Brewery, Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 71009, Việt Nam"
61,Ăn Cơm Uống Nước - Kin Khao Kin Nam,+84 93 209 90 28,Đang mở cửa: 09:00 SA - 10:30 CH,3.5,"Hải sản, Kiểu Á, Kiểu Thái, Tốt cho sức khỏe, Bữa trưa, Bữa tối, Bữa nửa buổi",100.000 vnd - 400.000 vnd,106.7099022,10.729413,"Chung Cư Hưng Vượng 1, Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, 72915, Việt Nam"
62,An Nam Quan,+84 28 3910 0988,Đang mở cửa: 10:00 SA - 11:45 CH,4.5,"Kiểu Á, Kiểu Việt, Phù hợp với người ăn chay, Tùy chọn ăn chay",100.000 vnd - 400.000 vnd,106.7040699,10.7695874,"Chung Cư 14 Tôn Thất Đạm, 14, Tôn Thất Ðạm, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, 72806, Việt Nam"
63,An Vietnamese BBQ & Hotpot,+84 28 6276 8234,Đang mở cửa: 10:00 SA - 2:00 CH5:00 CH - 10:00 CH,5.0,"Đồ nướng, Bữa tối, Bữa trưa, Đặt chỗ",400.000 vnd - 700.000 vnd,106.6992799,10.7847179,"Toà Nhà Star, Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh, 77000, Việt Nam"
64,An Xanh 1958 - LearningHub Cafe,+84 94 344 20 21,Đang mở cửa: 09:30 SA - 9:30 CH,4.5,"Cà phê, Bữa trưa, Chỗ ngồi, Bãi đỗ xe có vé, Đỗ xe có người coi, Thanh toán điện tử, Wifi miễn phí, Nhà hàng không hút thuốc",400.000 vnd - 700.000 vnd,106.6877962,10.7748442,"66, Đường Nguyễn Thị Diệu, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, 70001, Việt Nam"
